        volt    voltage    
                    v2     
    0.          999.9801m  
   10.00000m    999.9753m  
   20.00000m    999.9692m  
   30.00000m    999.9613m  
   40.00000m    999.9510m  
   50.00000m    999.9377m  
   60.00000m    999.9205m  
   70.00000m    999.8984m  
   80.00000m    999.8700m  
   90.00000m    999.8336m  
  100.00000m    999.7870m  
  110.00000m    999.7276m  
  120.00000m    999.6520m  
  130.00000m    999.5561m  
  140.00000m    999.4349m  
  150.00000m    999.2821m  
  160.00000m    999.0901m  
  170.00000m    998.8496m  
  180.00000m    998.5496m  
  190.00000m    998.1767m  
  200.00000m    997.7148m  
  210.00000m    997.1451m  
  220.00000m    996.4451m  
  230.00000m    995.5890m  
  240.00000m    994.5467m  
  250.00000m    993.2836m  
  260.00000m    991.7610m  
  270.00000m    989.9350m  
  280.00000m    987.7573m  
  290.00000m    985.1742m  
  300.00000m    982.1271m  
  310.00000m    978.5513m  
  320.00000m    974.3752m  
  330.00000m    969.5185m  
  340.00000m    963.8892m  
  350.00000m    957.3817m  
  360.00000m    949.8703m  
  370.00000m    941.1945m  
  380.00000m    931.1463m  
  390.00000m    919.4457m  
  400.00000m    905.6970m  
  410.00000m    889.3219m  
  420.00000m    869.4075m  
  430.00000m    844.4348m  
  440.00000m    811.8587m  
  450.00000m    768.6705m  
  460.00000m    715.6075m  
  470.00000m    658.5665m  
  480.00000m    606.3018m  
  490.00000m    566.1980m  
  500.00000m    536.9912m  
  510.00000m    514.4570m  
  520.00000m    495.8480m  
  530.00000m    479.6900m  
  540.00000m    465.1701m  
  550.00000m    451.8112m  
  560.00000m    439.3174m  
  570.00000m    427.4976m  
  580.00000m    416.2234m  
  590.00000m    405.4071m  
  600.00000m    394.9883m  
  610.00000m    384.9247m  
  620.00000m    375.1872m  
  630.00000m    365.7556m  
  640.00000m    356.6162m  
  650.00000m    347.7598m  
  660.00000m    339.1804m  
  670.00000m    330.8744m  
  680.00000m    322.8394m  
  690.00000m    315.0744m  
  700.00000m    307.5788m  
  710.00000m    300.3529m  
  720.00000m    293.3978m  
  730.00000m    286.7150m  
  740.00000m    280.3070m  
  750.00000m    274.1770m  
  760.00000m    268.3287m  
  770.00000m    262.7658m  
  780.00000m    257.4916m  
  790.00000m    252.5080m  
  800.00000m    247.8146m  
  810.00000m    243.4081m  
  820.00000m    239.2818m  
  830.00000m    235.4258m  
  840.00000m    231.8271m  
  850.00000m    228.4708m  
  860.00000m    225.3404m  
  870.00000m    222.4190m  
  880.00000m    219.6897m  
  890.00000m    217.1363m  
  900.00000m    214.7435m  
  910.00000m    212.4973m  
  920.00000m    210.3847m  
  930.00000m    208.3943m  
  940.00000m    206.5154m  
  950.00000m    204.7387m  
  960.00000m    203.0558m  
  970.00000m    201.4591m  
  980.00000m    199.9419m  
  990.00000m    198.4982m  
    1.00000     197.1224m  
