    0.           	  38.5319*10^-3  
   10.00000*10^-3     37.8706*10^-3  
   20.00000*10^-3     37.2107*10^-3  
   30.00000*10^-3     36.5523*10^-3  
   40.00000*10^-3     35.8953*10^-3  
   50.00000*10^-3     35.2399*10^-3  
   60.00000*10^-3     34.5859*10^-3  
   70.00000*10^-3     33.9335*10^-3  
   80.00000*10^-3     33.2827*10^-3  
   90.00000*10^-3     32.6333*10^-3  
  100.00000*10^-3     31.9855*10^-3  
  110.00000*10^-3     31.3391*10^-3  
  120.00000*10^-3     30.6941*10^-3  
  130.00000*10^-3     30.0503*10^-3  
  140.00000*10^-3     29.4077*10^-3  
  150.00000*10^-3     28.7660*10^-3  
  160.00000*10^-3     28.1250*10^-3  
  170.00000*10^-3     27.4844*10^-3  
  180.00000*10^-3     26.8437*10^-3  
  190.00000*10^-3     26.2026*10^-3  
  200.00000*10^-3     25.5604*10^-3  
  210.00000*10^-3     24.9164*10^-3  
  220.00000*10^-3     24.2698*10^-3  
  230.00000*10^-3     23.6196*10^-3  
  240.00000*10^-3     22.9648*10^-3  
  250.00000*10^-3     22.3042*10^-3  
  260.00000*10^-3     21.6363*10^-3  
  270.00000*10^-3     20.9598*10^-3  
  280.00000*10^-3     20.2734*10^-3  
  290.00000*10^-3     19.5755*10^-3  
  300.00000*10^-3     18.8652*10^-3  
  310.00000*10^-3     18.1414*10^-3  
  320.00000*10^-3     17.4039*10^-3  
  330.00000*10^-3     16.6529*10^-3  
  340.00000*10^-3     15.8895*10^-3  
  350.00000*10^-3     15.1160*10^-3  
  360.00000*10^-3     14.3356*10^-3  
  370.00000*10^-3     13.5527*10^-3  
  380.00000*10^-3     12.7721*10^-3  
  390.00000*10^-3     11.9994*10^-3  
  400.00000*10^-3     11.2406*10^-3  
  410.00000*10^-3     10.5011*10^-3  
  420.00000*10^-3      9.7861*10^-3  
  430.00000*10^-3      9.0998*10^-3  
  440.00000*10^-3      8.4454*10^-3  
  450.00000*10^-3      7.8252*10^-3  
  460.00000*10^-3      7.2401*10^-3  
  470.00000*10^-3      6.6905*10^-3  
  480.00000*10^-3      6.1758*10^-3  
  490.00000*10^-3      5.6948*10^-3  
  500.00000*10^-3      5.2459*10^-3  
  510.00000*10^-3      4.8274*10^-3  
  520.00000*10^-3      4.4374*10^-3  
  530.00000*10^-3      4.0738*10^-3  
  540.00000*10^-3      3.7349*10^-3  
  550.00000*10^-3      3.4187*10^-3  
  560.00000*10^-3      3.1236*10^-3  
  570.00000*10^-3      2.8482*10^-3  
  580.00000*10^-3      2.5910*10^-3  
  590.00000*10^-3      2.3509*10^-3  
  600.00000*10^-3      2.1269*10^-3  
  610.00000*10^-3      1.9181*10^-3  
  620.00000*10^-3      1.7236*10^-3  
  630.00000*10^-3      1.5429*10^-3  
  640.00000*10^-3      1.3754*10^-3  
  650.00000*10^-3      1.2206*10^-3  
  660.00000*10^-3      1.0779*10^-3  
  670.00000*10^-3    947.1284*10^-6  
  680.00000*10^-3    827.7092*10^-6  
  690.00000*10^-3    719.2842*10^-6  
  700.00000*10^-3    621.4281*10^-6  
  710.00000*10^-3    533.6847*10^-6  
  720.00000*10^-3    455.5588*10^-6  
  730.00000*10^-3    386.5111*10^-6  
  740.00000*10^-3    325.9583*10^-6  
  750.00000*10^-3    273.2774*10^-6  
  760.00000*10^-3    227.8139*10^-6  
  770.00000*10^-3    188.8936*10^-6  
  780.00000*10^-3    155.8368*10^-6  
  790.00000*10^-3    127.9727*10^-6  
  800.00000*10^-3    104.6540*10^-6  
  810.00000*10^-3     85.2695*10^-6  
  820.00000*10^-3     69.2539*10^-6  
  830.00000*10^-3     56.0948*10^-6  
  840.00000*10^-3     45.3363*10^-6  
  850.00000*10^-3     36.5792*10^-6  
  860.00000*10^-3     29.4796*10^-6  
  870.00000*10^-3     23.7445*10^-6  
  880.00000*10^-3     19.1276*10^-6  
  890.00000*10^-3     15.4232*10^-6  
  900.00000*10^-3     12.4610*10^-6  
  910.00000*10^-3     10.1006*10^-6  
  920.00000*10^-3      8.2271*10^-6  
  930.00000*10^-3      6.7464*10^-6  
  940.00000*10^-3      5.5820*10^-6  
  950.00000*10^-3      4.6716*10^-6  
  960.00000*10^-3      3.9649*10^-6  
  970.00000*10^-3      3.4211*10^-6  
  980.00000*10^-3      3.0075*10^-6  
  990.00000*10^-3      2.6978*10^-6  
    1.00000       	   2.4708*10^-6  
	
	
